,CardNo,Sex,Major,AccessCardNo,Index,Date,Address,Access,Describe
0,180041,女,18国际金融,19748650,1346249,2019-04-02 09:46:00,青鸾苑[出门],1,允许通过
1,180041,女,18国际金融,19748650,1346258,2019-04-02 10:31:00,青鸾苑[进门],1,允许通过
2,180041,女,18国际金融,19748650,1346260,2019-04-02 00:00:00,青鸾苑[出门],1,允许通过
3,180083,女,18会计,21159002,1345061,2019-04-29 20:34:00,飞凤轩[进门],0,禁止通过-没有权限
4,180101,女,18会计,18840522,1337058,2019-04-07 21:09:00,飞凤轩[进门],1,允许通过
5,180101,女,18会计,18840522,1344564,2019-04-29 14:52:00,飞凤轩[出门],1,允许通过
6,180101,女,18会计,18840522,1344850,2019-04-29 18:39:00,飞凤轩[进门],1,允许通过
7,180101,女,18会计,18840522,1356200,2019-04-14 21:45:00,飞凤轩[进门],1,允许通过
8,180127,女,18会计,21947050,1348536,2019-04-09 13:21:00,飞凤轩[进门],0,禁止通过-没有权限
9,180143,女,18会计,19841146,1332806,2019-04-05 18:01:00,第六教学楼[进门],1,允许通过
10,180143,女,18会计,19841146,1333335,2019-04-06 17:28:00,第六教学楼[进门],1,允许通过
11,180143,女,18会计,19841146,1333678,2019-04-07 11:12:00,第六教学楼[进门],1,允许通过
12,180143,女,18会计,19841146,1334342,2019-04-03 00:00:00,第六教学楼[出门],1,允许通过
13,180143,女,18会计,19841146,1357867,2019-04-17 09:01:00,第六教学楼[进门],1,允许通过
14,180143,女,18会计,19841146,1367531,2019-04-23 21:37:00,第六教学楼[进门],1,允许通过
15,180154,女,18会计,709322,1332168,2019-04-01 22:27:00,第六教学楼[出门],1,允许通过
16,180154,女,18会计,709322,1333829,2019-04-07 13:51:00,第六教学楼[出门],1,允许通过
17,180154,女,18会计,709322,1333877,2019-04-07 15:52:00,第六教学楼[进门],1,允许通过
18,180154,女,18会计,709322,1334052,2019-04-07 21:15:00,第六教学楼[出门],1,允许通过
19,180154,女,18会计,709322,1334061,2019-04-07 21:24:00,第六教学楼[进门],1,允许通过
20,180154,女,18会计,709322,1338860,2019-04-03 00:00:00,第六教学楼[进门],1,允许通过
21,180154,女,18会计,709322,1340401,2019-04-04 21:13:00,第六教学楼[进门],1,允许通过
22,180154,女,18会计,709322,1341510,2019-04-02 20:27:00,第六教学楼[出门],1,允许通过
23,180154,女,18会计,709322,1341552,2019-04-02 21:14:00,第六教学楼[进门],1,允许通过
24,180154,女,18会计,709322,1341738,2019-04-29 06:48:00,第六教学楼[进门],1,允许通过
25,180154,女,18会计,709322,1341740,2019-04-29 06:52:00,第六教学楼[出门],1,允许通过
26,180154,女,18会计,709322,1342174,2019-04-29 15:20:00,第六教学楼[进门],1,允许通过
27,180154,女,18会计,709322,1342591,2019-04-29 22:18:00,第六教学楼[出门],1,允许通过
28,180154,女,18会计,709322,1342608,2019-04-29 22:28:00,第六教学楼[进门],1,允许通过
29,180154,女,18会计,709322,1342940,2019-04-30 12:13:00,第六教学楼[出门],1,允许通过
30,180154,女,18会计,709322,1342952,2019-04-30 12:20:00,第六教学楼[进门],1,允许通过
31,180154,女,18会计,709322,1343364,2019-04-30 19:18:00,第六教学楼[进门],1,允许通过
32,180154,女,18会计,709322,1343592,2019-04-30 22:58:00,第六教学楼[出门],1,允许通过
33,180154,女,18会计,709322,1349748,2019-04-10 19:19:00,第六教学楼[出门],1,允许通过
34,180154,女,18会计,709322,1353587,2019-04-14 00:00:00,第六教学楼[出门],1,允许通过
35,180154,女,18会计,709322,1353611,2019-04-14 21:36:00,第六教学楼[进门],1,允许通过
36,180154,女,18会计,709322,1356967,2019-04-15 09:41:00,第六教学楼[出门],1,允许通过
37,180154,女,18会计,709322,1357561,2019-04-16 09:39:00,第六教学楼[出门],1,允许通过
38,180154,女,18会计,709322,1359498,2019-04-17 09:57:00,第六教学楼[进门],1,允许通过
39,180154,女,18会计,709322,1367575,2019-04-23 22:20:00,第六教学楼[进门],1,允许通过
40,180187,女,18会计,20602538,1334370,2019-04-01 19:02:00,飞凤轩[出门],1,允许通过
41,180187,女,18会计,20602538,1334512,2019-04-01 21:19:00,飞凤轩[进门],1,允许通过
42,180187,女,18会计,20602538,1335313,2019-04-05 20:35:00,飞凤轩[进门],1,允许通过
43,180187,女,18会计,20602538,1336538,2019-04-07 14:35:00,飞凤轩[进门],1,允许通过
44,180187,女,18会计,20602538,1339198,2019-04-03 18:51:00,飞凤轩[出门],1,允许通过
45,180187,女,18会计,20602538,1339479,2019-04-03 22:21:00,飞凤轩[进门],1,允许通过
46,180187,女,18会计,20602538,1341194,2019-04-02 09:35:00,飞凤轩[出门],1,允许通过
47,180187,女,18会计,20602538,1341311,2019-04-02 14:41:00,飞凤轩[进门],1,允许通过
48,180187,女,18会计,20602538,1344500,2019-04-29 10:35:00,飞凤轩[出门],1,允许通过
