CardNo,MaxDay,TotalCount,Money
9,4,48,125.9
24,9,2,19
48,10,3,9.4
56,3,18,137
58,3,40,140.9
59,7,9,73
72,0,1,5.5
91,0,1,9.65
1306,12,10,55
1919,13,5,38.5
2907,6,9,67
3902,6,8,28.8
4053,6,6,71
4232,0,1,10
4462,3,54,190.1
4641,7,20,95.6
4718,6,18,41.2
5179,3,3,24.5
5376,11,5,19.9
5509,2,4,10.1
5672,2,5,30.3
5674,6,11,86.3
6124,7,13,104
6145,3,44,144.7
6194,3,9,28.8
6195,7,3,27.5
6227,7,11,108
6318,7,26,82.4
6446,7,6,36.5
6665,6,13,25.5
6801,13,13,87.6
7682,11,2,18.5
8676,0,1,2
8702,7,33,113.2
8855,4,24,61.4
8947,6,5,7.4
8984,2,10,51.7
8998,7,12,120.9
9003,12,16,146
9023,11,4,20
9027,4,46,127
9043,13,5,32.9
9074,9,7,35.4
9118,3,59,235.8
9145,4,4,36
9242,0,1,8
9287,0,1,7
9358,11,4,77
9373,5,19,145
13621,7,6,54.5
40457,5,24,123.7
42224,7,4,24.5
42574,3,35,123.7
51671,5,6,55
51903,9,7,49.5
52034,2,110,404.8
52436,0,2,9.3
53064,6,24,103
53341,0,7,20.2
53379,5,48,81.2
53538,3,25,158.8
53565,3,37,126.2
53687,6,2,15
53758,8,4,27.5
53847,4,22,192
54043,3,20,137.3
62805,4,21,165.6
63183,3,44,207.3
63248,2,28,198
63268,0,2,7.6
63676,10,2,20.5
63726,4,30,183.2
63830,4,46,206.7
63844,5,14,123.5
63964,8,3,25
64005,3,17,123
64031,8,6,12.3
64113,2,63,162
64137,0,1,3.2
64253,12,11,31.4
64578,3,73,113
64648,5,41,133.5
64655,0,2,15
64661,0,3,7.9
64663,7,5,41
64689,4,14,141
64774,6,51,218.6
64780,4,87,266.2
64804,3,4,26.5
64892,5,53,190.6
64898,0,1,7.5
64954,8,27,46.5
64955,12,17,39.9
65090,6,37,168.2
65152,4,19,111.8
65203,5,8,27
65228,6,13,117.3
71770,5,17,161
72494,4,20,117.5
72524,4,17,121.5
72886,1,32,56.4
73325,4,39,139.7
73785,9,8,27.1
73860,17,37,133.5
73862,7,9,17.4
73951,3,42,174.5
73952,15,57,185.7
73958,16,4,28
74021,10,2,19
74083,12,6,40
74200,6,8,76.5
74281,11,11,21.4
74290,8,36,174.8
74303,13,8,70
74325,4,19,153.5
74565,5,32,90.8
74731,7,17,103.7
74830,4,25,151.8
74870,5,37,83.6
75000,17,3,10.4
75367,5,22,164
75573,0,4,9.4
75588,0,1,13
75607,1,2,18
75882,9,11,121
75889,4,27,142.8
75890,7,15,53.4
75903,6,11,108.5
76162,4,19,152
76183,5,43,167.9
80251,5,21,141.9
81308,0,4,20.4
83969,14,9,50
84000,8,12,54.5
84051,1,2,8.4
84231,0,3,24
84364,0,2,24
84427,4,50,280.9
84499,6,15,130.5
84622,16,11,87.5
84735,13,4,40
84750,7,5,41
84778,4,31,134.5
84985,27,3,101
85031,4,17,31.2
85138,0,7,20.8
85493,20,2,9
85504,9,6,39.6
85580,0,1,6
85676,4,43,222.8
85681,1,3,32
85684,4,44,196.7
85706,6,6,32.5
85874,2,106,198.4
86042,0,7,17.8
86233,4,19,127.8
86254,3,88,275.3
86502,6,10,93.6
86504,3,71,311.7
86539,5,17,95.2
86733,3,22,161.4
86865,9,14,73.4
86870,4,20,132.8
86907,4,29,147.9
86968,0,3,5.9
86974,5,56,198.1
86977,28,2,4.5
87018,4,49,217.4
87156,0,4,26
87171,0,6,11.1
90541,24,3,16.5
90709,6,3,36
92064,15,2,20
92306,6,15,91.9
94066,5,44,160.2
94179,1,2,18
94336,6,7,23
94934,4,47,196.5
95138,7,7,13.3
95284,7,20,144.6
95321,5,74,236.9
95465,4,72,339.8
95502,4,17,114.5
95539,7,8,86
95661,11,10,24.4
95819,1,6,57
95927,8,9,80
95958,7,15,82.1
96026,0,5,13.2
96031,3,15,61.7
96154,6,15,114
96264,6,44,112.4
96285,12,35,93.6
96359,12,9,17.2
96419,0,2,4.2
96439,14,8,76
96475,3,20,93.5
96523,5,57,176
96537,6,19,112.1
96545,8,22,191.5
96828,4,23,32.1
96950,3,2,22
97090,4,34,203.7
97101,4,18,120.8
97196,7,9,58.1
97253,8,9,24.6
97258,23,4,21
120589,4,16,125
121881,0,1,7.35
122146,12,9,24.5
123081,0,16,49.7
123820,4,65,147.9
124105,12,27,98.8
124145,3,26,99.8
124655,3,34,185.8
124672,3,41,189.9
124674,5,43,228.8
124687,5,19,141
124763,6,17,172
124834,4,28,98.4
124954,4,20,148.5
125054,0,1,7.35
125218,3,3,16
125353,0,1,8.5
125503,0,2,14.7
125509,0,1,7.35
125520,6,158,452.1
125526,6,25,137
125545,11,16,42.4
125554,5,7,32.5
125559,8,11,85.5
125641,6,6,53.5
125656,5,22,165.6
125658,0,2,13.6
125659,13,2,18
125667,19,15,56.2
125678,9,8,74.5
125686,4,11,80
125718,4,33,172.1
125754,5,31,147.5
125787,7,6,55.5
125802,6,7,50
125837,4,5,29.7
125928,13,5,33.9
125978,8,14,134
125990,0,2,14.7
126011,8,9,54
126038,3,72,209.1
126204,5,31,89.4
126247,8,8,75.5
126281,0,1,7.35
126324,8,14,127
126386,0,2,8.5
126428,2,86,369.7
126442,4,68,186.8
126469,7,5,53.5
126473,8,9,68.8
126474,3,54,183.8
126489,6,23,179.3
126511,3,18,50.1
126539,3,11,72.9
126564,4,70,258
126568,3,32,129.7
126597,10,6,36
126639,5,44,200
126714,7,16,131.7
126757,3,11,77.6
126780,12,14,80.3
126794,4,5,25
126820,0,1,7.35
126825,4,17,128.5
126834,6,12,53.6
126854,8,22,63.9
126985,6,20,95.1
127014,22,8,43.1
127120,6,13,111.9
127301,5,15,109
127304,0,7,22.8
127311,4,68,233.2
127329,5,19,105.4
127330,0,1,0.6
127339,20,5,42
127341,2,7,23.8
127453,5,35,120.5
127475,4,17,157.5
130344,0,4,29.4
130457,0,1,7.35
130587,0,1,7.65
131473,0,2,14.7
131487,0,1,7.35
132229,0,1,7.35
132322,8,14,103
132465,0,1,2
132872,0,1,7.35
133468,0,1,7.35
133527,0,1,7.35
133761,0,1,7.35
134017,0,1,7.35
134229,0,1,7.35
134278,0,1,7.35
140131,0,1,7.35
140222,7,14,170
140473,4,4,25
140481,3,25,112.4
141831,4,79,512.9
142247,0,1,7.35
142386,0,1,7.35
142474,8,23,54.9
142529,2,8,17.8
142645,0,2,3.7
142764,4,19,134
143067,0,1,7.35
143377,0,1,7.5
143476,0,1,7.35
143494,0,1,7.35
143607,9,6,48.5
143762,5,20,135
144000,0,1,7.35
144059,0,2,14.7
144254,4,86,208.6
144270,4,44,156.7
144284,13,10,72.1
144328,11,12,124
144344,4,33,162.9
144400,7,18,64.7
144401,8,4,34
144410,13,56,202.9
144484,5,23,122.5
144542,6,2,21.5
144691,3,39,336.3
144696,5,47,188.6
144705,5,16,120
144827,0,1,10.5
144837,5,26,130.7
144844,5,11,83
144858,14,8,85.5
144870,2,14,43.2
144878,6,7,43.4
144914,0,1,7.35
145018,3,44,270.8
145074,0,1,7.35
145164,0,1,7.35
145168,6,11,105
145265,4,34,184
145319,3,60,281.2
145340,0,2,12.2
145356,7,20,137.1
145422,6,11,68
145439,8,42,129.9
145731,9,4,35.5
145768,0,6,25.6
145814,5,21,207.4
145848,12,8,39.1
145886,8,12,118.5
145895,6,68,204.7
145954,7,26,122.2
145969,5,36,134.4
145995,7,17,49
146006,4,16,148.5
146023,6,25,186
146160,7,17,45.8
146314,0,3,8.3
146323,6,3,43
146350,4,18,117.4
146351,4,4,47.5
146367,0,3,8
146373,3,92,348.6
146438,5,18,119.5
146466,3,21,223.5
146574,1,3,15
146601,6,13,80.9
146614,6,10,82
146620,7,2,17
146627,4,55,253.2
146636,19,2,17
146667,8,21,72.5
146687,3,45,235.6
146727,6,7,55
146776,4,86,283.9
146912,3,28,121.3
146935,9,15,46.8
146948,0,9,28.5
147013,8,11,80.2
147017,15,7,50.5
147107,3,4,16.4
147711,10,37,111.9
147759,5,19,109.6
147912,0,2,16.5
147961,9,21,77.8
148063,3,112,241.6
148093,5,42,200.5
148122,6,79,232
148173,4,18,114.5
148258,4,30,168
148283,0,101,376
148498,6,8,40.1
148529,9,19,116.2
148554,6,51,199.3
148560,5,36,278.9
148623,19,9,21.8
148635,1,4,6.8
148652,4,95,251.7
148702,3,22,98.3
148808,4,53,190.9
148824,0,7,25.9
150190,0,1,9
150272,3,142,514.4
150282,1,344,2975.7
150299,10,9,65.2
150794,3,10,41.9
150830,0,7,15.3
151112,7,9,76
151633,23,8,26.6
151816,3,45,256.2
151852,4,21,111.2
152013,10,4,22.5
152158,7,8,51.1
152312,4,3,30.5
152827,0,1,11
152849,7,6,51
153279,15,9,28.8
153334,3,21,145.5
153336,18,3,21
153395,7,13,98.3
153693,0,1,9
153731,4,33,177.9
153961,0,1,10
154226,5,11,54
154282,4,23,120.4
154292,6,43,174
154303,4,71,225.6
154470,6,37,528.9
154485,4,45,146.4
154489,19,30,90.7
154528,12,20,42.1
154551,3,4,7.5
154633,4,21,165.2
154637,5,11,102.5
154656,11,8,47.5
154662,2,162,423.5
154674,5,23,42.9
154679,4,29,253.5
154680,19,31,89.8
154731,4,30,119.4
154737,4,19,186
154758,9,32,117.4
154765,1,11,11.7
154983,0,6,47
155056,5,10,90.1
155074,3,18,129
155078,6,24,180.1
155088,0,2,17
155093,0,2,7.5
155152,0,2,6.4
155171,8,32,175.7
155181,10,11,32.1
155207,6,45,121.8
155260,19,3,4.2
155270,8,18,73.9
155279,0,1,1.6
155313,3,77,142
155322,1,3,6.5
155372,10,8,21.8
155383,13,11,99
155435,5,39,136.2
155437,7,19,181.5
155521,4,11,82
155573,2,17,21.8
155583,1,118,585.3
155777,1,112,528.2
155804,4,21,54.7
156024,3,132,361.6
156126,3,127,658
156206,3,52,124.3
156261,0,4,15.6
156267,5,5,26.1
156287,4,12,116
156344,6,7,23.1
156370,0,2,5.5
156395,1,8,40.5
156467,21,3,36
156479,4,31,134
156493,6,18,161
156494,3,133,304.8
156527,1,3,13.5
156576,7,30,294.5
